title,worldwide_gross,year,industry
Dangal,"₹1,968–2,054 crore",2016,Bollywood
Dhurandhar: The Revenge,"₹1,850.61 crore",[16],Bollywood
Baahubali 2: The Conclusion,"₹1,810.43 crore",2017,Bollywood
Pushpa 2: The Rule,"₹1,642–1,800 crore",[d],Bollywood
Dhurandhar,"₹1,350.83–1,428 crore",2025,Bollywood
RRR,"₹1,300–1,387 crore",2022,Bollywood
KGF: Chapter 2,"₹1,200–1,250 crore",[f],Bollywood
Jawan,"₹1,148.32 crore",2023,Bollywood
Kalki 2898 AD,"₹1,042–1,100 crore",2024,Bollywood
Animal,₹917.82 crore,2023,Bollywood
Bajrangi Bhaijaan,₹900.90–969.06 crore,[h],Bollywood
Stree 2,₹874.58 crore,[52],Bollywood
Secret Superstar,₹858.43–966 crore,[i],Bollywood
Kantara: Chapter 1,₹850–900 crore,2025,Bollywood
Chhaava,₹797.34–809 crore,[l],Bollywood
PK,₹750.60–769.89 crore,[m],Bollywood
2.0,₹699.89–800 crore,2018,Bollywood
Gadar 2,₹691.08 crore,2023,Bollywood
Sultan,₹615.71–623.33 crore,[o],Bollywood
Salaar: Part 1 – Ceasefire,₹614–702 crore,2023,Bollywood
Jailer,₹605–650 crore,[q],Bollywood
Baahubali: The Beginning,₹599.72–650 crore,2015,Bollywood
Leo,₹595–615 crore,2023,Bollywood
Sanju,₹586.85 crore,2018,Bollywood
Saiyaara,₹579.23 crore,[78],Bollywood
Tiger Zinda Hai,₹565.19 crore,[79],Bollywood
Padmaavat,₹563.55–571.98 crore,[t],Bollywood
Dhoom 3,₹556.74–558.42 crore,[u],Bollywood
Coolie,₹514–675 crore,2025,Bollywood
War,₹474.79–475.62 crore,2019,Bollywood
Dunki,₹470.60 crore,[90],Bollywood
Border 2,₹464.50 crore,[92],Bollywood
Ponniyin Selvan: I,₹450–500 crore,2022,Bollywood
Andhadhun,₹444.48–456.89 crore,2018,Bollywood
The Greatest of All Time,₹440–460 crore,2024,Bollywood
Vikram,₹424–500 crore,[aa],Bollywood
Bhool Bhulaiyaa 3,₹423.85  crore,2024,Bollywood
Saaho,₹419–439 crore,2019,Bollywood
Brahmāstra: Part One – Shiva,₹418.80–430.77 crore,2022,Bollywood
Kantara,₹400–450 crore,[ad],Bollywood
3 Idiots,₹400.61–460 crore,2009,Bollywood
Chennai Express,₹395.92–424.54 crore,[af],Bollywood
Adipurush,₹392.70 crore,2023,Bollywood
Simmba,₹391.68–400.19 crore,2018,Bollywood
Singham Again,₹389.64 crore,[115],Bollywood
Devara: Part 1,₹380–521 crore,[ah],Bollywood
