title,year,gross_usd_million,industry
Avatar,,2923.7,Hollywood
Avengers: Endgame,,2797.5,Hollywood
Avatar: The Way of Water,,2334.5,Hollywood
Titanic,,2257.9,Hollywood
Ne Zha 2,,2215.7,Hollywood
Star Wars: The Force Awakens,,2068.2,Hollywood
Avengers: Infinity War,,2048.4,Hollywood
Spider-Man: No Way Home,,1922.6,Hollywood
Zootopia 2 †,,1866.6,Hollywood
Inside Out 2,,1698.9,Hollywood
Jurassic World,,1671.5,Hollywood
The Lion King,,1656.9,Hollywood
The Avengers,,1518.8,Hollywood
Furious 7,,1515.3,Hollywood
Top Gun: Maverick †,,1503.2,Hollywood
Avatar: Fire and Ash †,,1486.0,Hollywood
Frozen 2,,1450.0,Hollywood
Barbie,,1447.1,Hollywood
Avengers: Age of Ultron,,1402.8,Hollywood
The Super Mario Bros. Movie,,1360.8,Hollywood
Black Panther,,1347.3,Hollywood
Harry Potter and the Deathly Hallows – Part 2,,1342.1,Hollywood
Deadpool & Wolverine,,1338.1,Hollywood
Star Wars: The Last Jedi,,1332.5,Hollywood
Jurassic World: Fallen Kingdom,,1308.5,Hollywood
Frozen,,1290.0,Hollywood
Beauty and the Beast,,1263.5,Hollywood
Incredibles 2,,1242.8,Hollywood
The Fate of the Furious,,81238.8,Hollywood
Iron Man 3,,1214.8,Hollywood
Minions,,1159.4,Hollywood
Captain America: Civil War,,1153.3,Hollywood
Aquaman,,1148.5,Hollywood
The Lord of the Rings: The Return of the King,,1148.0,Hollywood
Spider-Man: Far From Home,,1132.7,Hollywood
Captain Marvel,,1128.3,Hollywood
Transformers: Dark of the Moon,,1123.8,Hollywood
Skyfall,,1108.6,Hollywood
Transformers: Age of Extinction,,1104.1,Hollywood
The Dark Knight Rises,,1081.2,Hollywood
Joker,,1074.5,Hollywood
Star Wars: The Rise of Skywalker,,1074.1,Hollywood
Toy Story 4,,1073.4,Hollywood
Toy Story 3,,1067.0,Hollywood
Pirates of the Caribbean: Dead Man's Chest,,1066.2,Hollywood
Moana 2,,1059.2,Hollywood
Rogue One: A Star Wars Story,,1057.4,Hollywood
Aladdin,,1050.7,Hollywood
Star Wars: Episode I – The Phantom Menace,,1046.5,Hollywood
Pirates of the Caribbean: On Stranger Tides,,1045.7,Hollywood
