title,industry,year,gross_crore,genre,budget_usd,runtime,popularity,month,label
Dangal,Bollywood,2016.0,2011.0,Drama,,,,,1
Dhurandhar: The Revenge,Bollywood,,1850.61,Action,,,,,1
Baahubali 2: The Conclusion,Bollywood,2017.0,1810.43,Thriller,,,,,1
Pushpa 2: The Rule,Bollywood,,1721.0,Thriller,,,,,1
Dhurandhar,Bollywood,2025.0,1389.42,Action,,,,,1
RRR,Bollywood,2022.0,1343.5,Thriller,,,,,1
KGF: Chapter 2,Bollywood,,1225.0,Thriller,,,,,1
Jawan,Bollywood,2023.0,1148.32,Action,,,,,1
Kalki 2898 AD,Bollywood,2024.0,1071.0,Drama,,,,,1
Animal,Bollywood,2023.0,917.82,Action,,,,,1
Bajrangi Bhaijaan,Bollywood,,934.98,Action,,,,,1
Stree 2,Bollywood,,874.58,Horror,,,,,1
Secret Superstar,Bollywood,,912.21,Drama,,,,,1
Kantara: Chapter 1,Bollywood,2025.0,875.0,Thriller,,,,,1
Chhaava,Bollywood,,803.17,Drama,,,,,1
PK,Bollywood,,760.24,Drama,,,,,1
2.0,Bollywood,2018.0,749.94,Science Fiction,,,,,1
Gadar 2,Bollywood,2023.0,691.08,Action,,,,,1
Sultan,Bollywood,,619.52,Action,,,,,1
Salaar: Part 1 – Ceasefire,Bollywood,2023.0,658.0,Action,,,,,1
Jailer,Bollywood,,627.5,Action,,,,,1
Baahubali: The Beginning,Bollywood,2015.0,624.86,Thriller,,,,,1
Leo,Bollywood,2023.0,605.0,Action,,,,,1
Sanju,Bollywood,2018.0,586.85,Drama,,,,,0
Saiyaara,Bollywood,,579.23,Action,,,,,0
Tiger Zinda Hai,Bollywood,,565.19,Action,,,,,0
Padmaavat,Bollywood,,567.76,Romance,,,,,0
Dhoom 3,Bollywood,,557.58,Thriller,,,,,0
Coolie,Bollywood,2025.0,594.5,Action,,,,,0
War,Bollywood,2019.0,475.21,Action,,,,,0
Dunki,Bollywood,,470.6,Action,,,,,0
Border 2,Bollywood,,464.5,Action,,,,,0
Ponniyin Selvan: I,Bollywood,2022.0,475.0,Thriller,,,,,0
Andhadhun,Bollywood,2018.0,450.68,Drama,,,,,0
The Greatest of All Time,Bollywood,2024.0,450.0,Action,,,,,0
Vikram,Bollywood,,462.0,Action,,,,,0
Bhool Bhulaiyaa 3,Bollywood,2024.0,423.85,Horror,,,,,0
Saaho,Bollywood,2019.0,429.0,Action,,,,,0
Brahmāstra: Part One – Shiva,Bollywood,2022.0,424.78,Action,,,,,0
Kantara,Bollywood,,425.0,Thriller,,,,,0
3 Idiots,Bollywood,2009.0,430.3,Drama,,,,,0
Chennai Express,Bollywood,,410.23,Romance,,,,,0
Adipurush,Bollywood,2023.0,392.7,Action,,,,,0
Simmba,Bollywood,2018.0,395.94,Action,,,,,0
Singham Again,Bollywood,,389.64,Action,,,,,0
Devara: Part 1,Bollywood,,450.5,Action,,,,,0
Avatar,Hollywood,,24266.8,Science Fiction,237000000.0,162.0,33.5,12.0,1
Avengers: Endgame,Hollywood,,23219.26,Adventure,356000000.0,181.0,35.8,4.0,1
Avatar: The Way of Water,Hollywood,,19376.22,Action,350000000.0,192.0,24.6,12.0,1
Titanic,Hollywood,,18740.63,Drama,200000000.0,194.0,42.2,12.0,1
Ne Zha 2,Hollywood,,18390.23,Animation,80000000.0,144.0,71.2,1.0,1
Star Wars: The Force Awakens,Hollywood,,17166.26,Adventure,245000000.0,136.0,14.7,12.0,1
Avengers: Infinity War,Hollywood,,17001.39,Adventure,300000000.0,149.0,51.7,4.0,1
Spider-Man: No Way Home,Hollywood,,15957.57,Action,200000000.0,148.0,41.6,12.0,1
Zootopia 2 †,Hollywood,,15493.18,Action,150000000.0,108.0,83.2,11.0,1
Inside Out 2,Hollywood,,14100.57,Animation,200000000.0,97.0,30.0,6.0,1
Jurassic World,Hollywood,,13873.76,Science Fiction,180000000.0,134.0,36.4,6.0,1
The Lion King,Hollywood,,13752.63,Animation,45000000.0,89.0,23.9,6.0,1
The Avengers,Hollywood,,12606.17,Science Fiction,220000000.0,143.0,51.6,4.0,1
Furious 7,Hollywood,,12577.33,Action,190000000.0,138.0,17.0,4.0,1
Top Gun: Maverick †,Hollywood,,12476.75,Action,170000000.0,131.0,31.8,5.0,1
Avatar: Fire and Ash †,Hollywood,,12333.8,Science Fiction,350000000.0,198.0,141.2,12.0,1
Frozen 2,Hollywood,,12035.22,Animation,200000000.0,71.0,0.1,12.0,1
Barbie,Hollywood,,12011.25,Comedy,145000000.0,114.0,23.7,7.0,1
Avengers: Age of Ultron,Hollywood,,11643.32,Action,235000000.0,141.0,20.7,4.0,1
The Super Mario Bros. Movie,Hollywood,,11294.5,Family,100000000.0,93.0,34.8,4.0,1
Black Panther,Hollywood,,11182.43,Action,200000000.0,139.5,34.15,6.0,1
Harry Potter and the Deathly Hallows – Part 2,Hollywood,,11139.76,Thriller,200000000.0,139.5,34.15,6.0,1
Deadpool & Wolverine,Hollywood,,11106.01,Action,200000000.0,139.5,34.15,6.0,1
Star Wars: The Last Jedi,Hollywood,,11060.08,Action,200000000.0,139.5,34.15,6.0,1
Jurassic World: Fallen Kingdom,Hollywood,,10860.35,Adventure,200000000.0,139.5,34.15,6.0,0
Frozen,Hollywood,,10707.0,Animation,200000000.0,139.5,34.15,6.0,0
Beauty and the Beast,Hollywood,,10487.23,Action,200000000.0,139.5,34.15,6.0,0
Incredibles 2,Hollywood,,10315.28,Animation,200000000.0,139.5,34.15,6.0,0
The Fate of the Furious,Hollywood,,674281.75,Adventure,200000000.0,139.5,34.15,6.0,1
Iron Man 3,Hollywood,,10082.93,Action,200000000.0,139.5,34.15,6.0,0
Minions,Hollywood,,9623.39,Animation,200000000.0,139.5,34.15,6.0,0
Captain America: Civil War,Hollywood,,9572.7,Action,200000000.0,139.5,34.15,6.0,0
Aquaman,Hollywood,,9532.79,Action,200000000.0,139.5,34.15,6.0,0
The Lord of the Rings: The Return of the King,Hollywood,,9528.38,Action,200000000.0,139.5,34.15,6.0,0
Spider-Man: Far From Home,Hollywood,,9401.24,Action,200000000.0,139.5,34.15,6.0,0
Captain Marvel,Hollywood,,9364.68,Action,200000000.0,139.5,34.15,6.0,0
Transformers: Dark of the Moon,Hollywood,,9327.49,Action,200000000.0,139.5,34.15,6.0,0
Skyfall,Hollywood,,9201.33,Action,200000000.0,139.5,34.15,6.0,0
Transformers: Age of Extinction,Hollywood,,9163.65,Action,200000000.0,139.5,34.15,6.0,0
The Dark Knight Rises,Hollywood,,8973.71,Action,200000000.0,139.5,34.15,6.0,0
Joker,Hollywood,,8918.0,Drama,200000000.0,139.5,34.15,6.0,0
Star Wars: The Rise of Skywalker,Hollywood,,8915.4,Action,200000000.0,139.5,34.15,6.0,0
Toy Story 4,Hollywood,,8909.18,Animation,200000000.0,139.5,34.15,6.0,0
Toy Story 3,Hollywood,,8855.86,Animation,200000000.0,139.5,34.15,6.0,0
Pirates of the Caribbean: Dead Man's Chest,Hollywood,,8849.29,Adventure,200000000.0,139.5,34.15,6.0,0
Moana 2,Hollywood,,8791.71,Animation,200000000.0,139.5,34.15,6.0,0
Rogue One: A Star Wars Story,Hollywood,,8776.59,Action,200000000.0,139.5,34.15,6.0,0
Aladdin,Hollywood,,8720.76,Animation,200000000.0,139.5,34.15,6.0,0
Star Wars: Episode I – The Phantom Menace,Hollywood,,8686.08,Action,200000000.0,139.5,34.15,6.0,0
Pirates of the Caribbean: On Stranger Tides,Hollywood,,8679.42,Adventure,200000000.0,139.5,34.15,6.0,0
